Key Combinations - Windows Console API Values
================================================================================

Generated: 2025-12-22 11:39:11
Total combinations: 510

'                              | vk: 0xDE   | ascii:   39 | unicode:     39
O                              | vk: 0x4F   | ascii:  111 | unicode:    111
Alt+O                          | vk: 0x4F   | ascii:  111 | unicode:    111
Shift+O                        | vk: 0x4F   | ascii:   79 | unicode:     79
Shift+Alt+O                    | vk: 0x4F   | ascii:   79 | unicode:     79
Ctrl+O                         | vk: 0x4F   | ascii:   15 | unicode:     15
Ctrl+Alt+O                     | vk: 0x4F   | ascii:    0 | unicode:      0
Ctrl+Shift+O                   | vk: 0x4F   | ascii:   79 | unicode:     79
Ctrl+Shift+Alt+O               | vk: 0x4F   | ascii:    0 | unicode:      0
P                              | vk: 0x50   | ascii:  112 | unicode:    112
Alt+P                          | vk: 0x50   | ascii:  112 | unicode:    112
Shift+P                        | vk: 0x50   | ascii:   80 | unicode:     80
Shift+Alt+P                    | vk: 0x50   | ascii:   80 | unicode:     80
Ctrl+P                         | vk: 0x50   | ascii:   16 | unicode:     16
Ctrl+Alt+P                     | vk: 0x50   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+P               | vk: 0x50   | ascii:    0 | unicode:      0
page down                      | vk: 0x22   | ascii:    0 | unicode:      0
Shift+page down                | vk: 0x22   | ascii:    0 | unicode:      0
Ctrl+page down                 | vk: 0x22   | ascii:    0 | unicode:      0
Ctrl+Alt+page down             | vk: 0x22   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+page down       | vk: 0x22   | ascii:    0 | unicode:      0
page up                        | vk: 0x21   | ascii:    0 | unicode:      0
Alt+page up                    | vk: 0x21   | ascii:    0 | unicode:      0
Shift+page up                  | vk: 0x21   | ascii:    0 | unicode:      0
Ctrl+page up                   | vk: 0x21   | ascii:    0 | unicode:      0
Ctrl+Alt+page up               | vk: 0x21   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+page up         | vk: 0x21   | ascii:    0 | unicode:      0
Q                              | vk: 0x51   | ascii:  113 | unicode:    113
Alt+Q                          | vk: 0x51   | ascii:  113 | unicode:    113
Shift+Q                        | vk: 0x51   | ascii:   81 | unicode:     81
Shift+Alt+Q                    | vk: 0x51   | ascii:   81 | unicode:     81
Ctrl+Q                         | vk: 0x51   | ascii:   17 | unicode:     17
Ctrl+Alt+Q                     | vk: 0x51   | ascii:    0 | unicode:      0
Ctrl+Shift+Q                   | vk: 0x51   | ascii:   81 | unicode:     81
Ctrl+Shift+Alt+Q               | vk: 0x51   | ascii:    0 | unicode:      0
R                              | vk: 0x52   | ascii:  114 | unicode:    114
Shift+R                        | vk: 0x52   | ascii:   82 | unicode:     82
Shift+Alt+R                    | vk: 0x52   | ascii:   82 | unicode:     82
Ctrl+R                         | vk: 0x52   | ascii:   18 | unicode:     18
Ctrl+Shift+R                   | vk: 0x52   | ascii:   82 | unicode:     82
Ctrl+Shift+Alt+R               | vk: 0x52   | ascii:    0 | unicode:      0
RIGHT                          | vk: 0x27   | ascii:    0 | unicode:      0
Alt+RIGHT                      | vk: 0x27   | ascii:    0 | unicode:      0
Shift+RIGHT                    | vk: 0x27   | ascii:    0 | unicode:      0
Ctrl+RIGHT                     | vk: 0x27   | ascii:    0 | unicode:      0
Ctrl+Alt+RIGHT                 | vk: 0x27   | ascii:    0 | unicode:      0
Ctrl+Shift+RIGHT               | vk: 0x27   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+RIGHT           | vk: 0x27   | ascii:    0 | unicode:      0
S                              | vk: 0x53   | ascii:  115 | unicode:    115
Alt+S                          | vk: 0x53   | ascii:  115 | unicode:    115
Shift+S                        | vk: 0x53   | ascii:   83 | unicode:     83
Shift+Alt+S                    | vk: 0x53   | ascii:   83 | unicode:     83
Ctrl+S                         | vk: 0x53   | ascii:   19 | unicode:     19
Ctrl+Alt+S                     | vk: 0x53   | ascii:    0 | unicode:      0
Ctrl+Shift+S                   | vk: 0x53   | ascii:   83 | unicode:     83
Ctrl+Shift+Alt+S               | vk: 0x53   | ascii:    0 | unicode:      0
SPACE                          | vk: 0x20   | ascii:   32 | unicode:     32
Shift+SPACE                    | vk: 0x20   | ascii:   32 | unicode:     32
Shift+Alt+SPACE                | vk: 0x20   | ascii:   32 | unicode:     32
Ctrl+SPACE                     | vk: 0x20   | ascii:   32 | unicode:     32
Ctrl+Alt+SPACE                 | vk: 0x20   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+SPACE           | vk: 0x20   | ascii:    0 | unicode:      0
T                              | vk: 0x54   | ascii:  116 | unicode:    116
Alt+T                          | vk: 0x54   | ascii:  116 | unicode:    116
Shift+T                        | vk: 0x54   | ascii:   84 | unicode:     84
Shift+Alt+T                    | vk: 0x54   | ascii:   84 | unicode:     84
Ctrl+T                         | vk: 0x54   | ascii:   20 | unicode:     20
Ctrl+Alt+T                     | vk: 0x54   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+T               | vk: 0x54   | ascii:    0 | unicode:      0
TAB                            | vk: 0x09   | ascii:    9 | unicode:      9
Shift+TAB                      | vk: 0xB3   | ascii:    0 | unicode:      0
U                              | vk: 0x55   | ascii:  117 | unicode:    117
Alt+U                          | vk: 0x55   | ascii:  117 | unicode:    117
Shift+U                        | vk: 0x55   | ascii:   85 | unicode:     85
Shift+Alt+U                    | vk: 0x55   | ascii:   85 | unicode:     85
Ctrl+U                         | vk: 0x55   | ascii:   21 | unicode:     21
Ctrl+Alt+U                     | vk: 0x55   | ascii:    0 | unicode:      0
Ctrl+Shift+U                   | vk: 0x55   | ascii:   85 | unicode:     85
Ctrl+Shift+Alt+U               | vk: 0x55   | ascii:    0 | unicode:      0
UP                             | vk: 0x26   | ascii:    0 | unicode:      0
Alt+UP                         | vk: 0x26   | ascii:    0 | unicode:      0
Shift+UP                       | vk: 0x26   | ascii:    0 | unicode:      0
Ctrl+UP                        | vk: 0x26   | ascii:    0 | unicode:      0
Ctrl+Alt+UP                    | vk: 0x26   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+UP              | vk: 0x26   | ascii:    0 | unicode:      0
V                              | vk: 0x56   | ascii:  118 | unicode:    118
Alt+V                          | vk: 0x56   | ascii:  118 | unicode:    118
Shift+V                        | vk: 0x56   | ascii:   86 | unicode:     86
Shift+Alt+V                    | vk: 0x56   | ascii:   86 | unicode:     86
Ctrl+V                         | vk: 0x5A   | ascii:  122 | unicode:    122
Ctrl+Alt+V                     | vk: 0x56   | ascii:    0 | unicode:      0
Ctrl+Shift+V                   | vk: 0x5A   | ascii:  122 | unicode:    122
Ctrl+Shift+Alt+V               | vk: 0x56   | ascii:    0 | unicode:      0
W                              | vk: 0x57   | ascii:  119 | unicode:    119
Alt+W                          | vk: 0x57   | ascii:  119 | unicode:    119
Shift+W                        | vk: 0x57   | ascii:   87 | unicode:     87
Shift+Alt+W                    | vk: 0x57   | ascii:   87 | unicode:     87
Ctrl+W                         | vk: 0x57   | ascii:   23 | unicode:     23
Ctrl+Alt+W                     | vk: 0x57   | ascii:    0 | unicode:      0
Ctrl+Shift+Alt+W               | vk: 0x57   | ascii:    0 | unicode:      0
X                              | vk: 0x58   | ascii:  120 | unicode:    120
Alt+X                          | vk: 0x58   | ascii:  120 | unicode:    120
Shift+X                        | vk: 0x58   | ascii:   88 | unicode:     88
Shift+Alt+X                    | vk: 0x58   | ascii:   88 | unicode:     88
Ctrl+X                         | vk: 0x58   | ascii:   24 | unicode:     24
Ctrl+Alt+X                     | vk: 0x58   | ascii:    0 | unicode:      0
Ctrl+Shift+X                   | vk: 0x58   | ascii:   88 | unicode:     88
Ctrl+Shift+Alt+X               | vk: 0x58   | ascii:    0 | unicode:      0
Y                              | vk: 0x59   | ascii:  121 | unicode:    121
Alt+Y                          | vk: 0x59   | ascii:  121 | unicode:    121
Shift+Y                        | vk: 0x59   | ascii:   89 | unicode:     89
Shift+Alt+Y                    | vk: 0x59   | ascii:   89 | unicode:     89
Ctrl+Y                         | vk: 0x59   | ascii:   25 | unicode:     25
Ctrl+Alt+Y                     | vk: 0x59   | ascii:    0 | unicode:      0
Ctrl+Shift+Y                   | vk: 0x59   | ascii:   89 | unicode:     89
Ctrl+Shift+Alt+Y               | vk: 0x59   | ascii:    0 | unicode:      0
Z                              | vk: 0x5A   | ascii:  122 | unicode:    122
Shift+Z                        | vk: 0x5A   | ascii:   90 | unicode:     90
Shift+Alt+Z                    | vk: 0x5A   | ascii:   90 | unicode:     90
Ctrl+Z                         | vk: 0x5A   | ascii:   26 | unicode:     26
Ctrl+Alt+Z                     | vk: 0x5A   | ascii:    0 | unicode:      0
Ctrl+Shift+Z                   | vk: 0x5A   | ascii:   90 | unicode:     90
Ctrl+Shift+Alt+Z               | vk: 0x5A   | ascii:    0 | unicode:      0
